"","V1","V2","V3"
<<<<<<< HEAD
"1","mu","2.71 (2.64-2.78)","23.3"
"2","muShort","0.586 (0.464-0.866)","1.18"
"3","sigma","0.297 (0.289-0.303)","33.1"
"4","sigma2","0.0297 (0.0268-0.0324)","3.75"
"5","error","1.03 (1-1.05)","11.6"
"6","tau2","0.0831 (0.0809-0.0898)","7.3"
"7","wane","0.5 (0.447-0.572)","2.27"
"8","sigmadrop","0.803 (0.776-0.838)","33.1"
"9","sigma2drop","0.0176 (0.0124-0.0271)","3.75"
"10","wane_yr","0.301 (0.219-0.495)","2.27"
"11","errorCorrect1","0.615 (0.606-0.623)","11.6"
"12","errorCorrect2","0.921 (0.914-0.926)","11.6"
=======
"1","mu","1.93 (1.86-2.01)","117"
"2","muShort","1.97 (1.81-2.12)","148"
"3","sigma","0.303 (0.295-0.312)","560"
"4","sigma2","0.0968 (0.0903-0.104)","230"
"5","error","0.993 (0.98-1.01)","3020"
"6","tau2","0.0459 (0.0371-0.0537)","37.1"
"7","wane","0.983 (0.925-0.999)","468"
"8","sigmadrop","0.587 (0.556-0.619)","560"
"9","sigma2drop","0.19 (0.169-0.215)","230"
"10","wane_yr","1.92 (1.74-2.1)","468"
"11","errorCorrect1","0.627 (0.622-0.632)","3020"
"12","errorCorrect2","0.929 (0.925-0.932)","3020"
>>>>>>> origin/master
